대조 셀 4,502  |  불일치 182  |  raw없음 0 (회사,분기)  앵커불가 21

회사            분기        item 열                   저장         원문환산       차이  원문(백만원)
흥국생명보험        2023.2Q     36 값_적용후         4,081.90     4,081.96    -0.06  408,196
흥국생명보험        2023.2Q     37 값_적용후         2,145.14     2,145.17    -0.03  214,517
흥국생명보험        2023.2Q     38 값_적용후         2,916.99     2,917.03    -0.04  291,703
흥국생명보험        2023.2Q     39 값_적용후           657.03       657.04    -0.01  65,704
흥국생명보험        2023.3Q     36 값_적용후         3,983.09     3,983.05    +0.04  398,305
흥국생명보험        2023.3Q     37 값_적용후         3,841.83     3,841.79    +0.04  384,179
흥국생명보험        2023.3Q     38 값_적용후         2,912.90     2,912.87    +0.03  291,287
흥국생명보험        2023.3Q     39 값_적용후           595.08       595.07    +0.01  59,507
흥국생명보험        2024.1Q     36 값_적용후         3,457.86     3,457.81    +0.05  345,781
흥국생명보험        2024.1Q     37 값_적용후         5,893.15     5,893.07    +0.08  589,307
흥국생명보험        2024.1Q     38 값_적용후         3,246.09     3,246.05    +0.04  324,605
흥국생명보험        2024.1Q     39 값_적용후           520.79       520.78    +0.01  52,078
흥국생명보험        2024.2Q     36 값_적용후         3,177.99     3,178.02    -0.03  317,802
흥국생명보험        2024.2Q     37 값_적용후         3,915.71     3,915.75    -0.04  391,575
흥국생명보험        2024.2Q     38 값_적용후         3,240.36     3,240.39    -0.03  324,039
흥국생명보험        2024.2Q     39 값_적용후           637.20       637.21    -0.01  63,721
흥국생명보험        2024.3Q     36 값_적용후         2,116.97     2,116.98    -0.01  211,698
흥국생명보험        2024.3Q     37 값_적용후         2,765.12     2,765.13    -0.01  276,513
흥국생명보험        2024.3Q     38 값_적용후         3,234.82     3,234.83    -0.01  323,483
흥국생명보험        2025.1Q     36 값_적용후         3,506.08     3,506.10    -0.02  350,610
흥국생명보험        2025.1Q     37 값_적용후         2,558.09     2,558.10    -0.01  255,810
흥국생명보험        2025.1Q     38 값_적용후         3,540.51     3,540.53    -0.02  354,053
흥국생명보험        2025.2Q     36 값_적용후         2,530.00     2,530.04    -0.04  253,004
흥국생명보험        2025.2Q     37 값_적용후         4,702.21     4,702.28    -0.07  470,228
흥국생명보험        2025.2Q     38 값_적용후         3,540.47     3,540.53    -0.06  354,053
흥국생명보험        2025.2Q     39 값_적용후           798.49       798.50    -0.01  79,850
흥국생명보험        2025.3Q     36 값_적용후         1,342.31     1,342.34    -0.03  134,234
흥국생명보험        2025.3Q     37 값_적용후         3,060.52     3,060.58    -0.06  306,058
흥국생명보험        2025.3Q     38 값_적용후         3,540.46     3,540.53    -0.07  354,053
흥국생명보험        2025.3Q     39 값_적용후           757.25       757.27    -0.02  75,727
흥국생명보험        2025.4Q     36 값_적용후         1,711.27     1,711.26    +0.01  171,126
흥국생명보험        2025.4Q     37 값_적용후         3,432.69     3,432.68    +0.01  343,268
흥국생명보험        2025.4Q     38 값_적용후         1,587.34     1,587.33    +0.01  158,733
흥국생명보험        2026.1Q     36 값_적용후         2,327.83     2,327.80    +0.03  232,780
흥국생명보험        2026.1Q     37 값_적용후         4,110.11     4,110.06    +0.05  411,006
흥국생명보험        2026.1Q     38 값_적용후         1,609.67     1,609.65    +0.02  160,965
흥국생명보험        2026.1Q     39 값_적용후           948.27       948.26    +0.01  94,826
케이디비생명보험      2023.1Q     36 값_적용후         2,884.60     2,884.66    -0.06  288,466
케이디비생명보험      2023.1Q     37 값_적용후         4,200.27     4,200.35    -0.08  420,035
케이디비생명보험      2023.1Q     38 값_적용후           500.72       500.73    -0.01  50,073
케이디비생명보험      2023.1Q     39 값_적용후         1,087.73     1,087.75    -0.02  108,775
교보생명보험        2023.2Q     35 값             3,255.01         0.00 +3255.01  0
교보생명보험        2024.2Q     35 값             3,441.90         0.00 +3441.90  0
교보생명보험        2026.1Q     35 값             3,343.49         0.00 +3343.49  0
교보생명보험        2026.1Q     36 값_적용후        11,235.84    11,235.82    +0.02  1,123,582
교보생명보험        2026.1Q     37 값_적용후        39,037.06    39,036.99    +0.07  3,903,699
교보생명보험        2026.1Q     38 값_적용후        14,187.08    14,187.06    +0.02  1,418,706
교보생명보험        2026.1Q     39 값_적용후         9,785.15     9,785.13    +0.02  978,513
하나생명보험        2023.1Q     36 값_적용후           581.80       581.85    -0.05  58,185
하나생명보험        2023.1Q     37 값_적용후           874.53       874.61    -0.08  87,461
